ts	imei	mwra	p.android.packageinstaller	p.android.documentsui	p.system	p.android.externalstorage	p.android.chrome	p.android.settings	p.android.gm	p.inputmethod.latin	p.android.vending	p.process.gapps	p.notifier	p.katana	p.google	p.android.defcontainer	p.simulator	p.android.gms	p.dogalize	p.gms.persistent	p.browser.provider	p.olauncher
2018-05-05 10:22:00	863033069630348123	0.00000	13.42192	9.95862	11.43524	12.97338	10.77249	13.76726	10.61721	14.16734	0.00016	52.98379	69.00594	15.55517	89.16399	59.31656	23.34410	93.71245	19.81760	79.05237	98.90736	17.85294
2018-05-05 10:23:00	8630330696303482261	1.00000	10.57315	9.59327	15.20294	13.07152	10.53124	15.81100	13.72672	34.25601	0.00011	41.21434	61.49994	41.81660	30.58148	21.78614	45.97755	76.46552	86.13244	78.68586	75.89904	17.11028
2018-05-05 10:24:00	3590433799317661685	0.00000	15.93808	12.07095	17.01768	8.50121	12.66132	15.86296	13.83005	67.79979	0.00129	49.38886	60.60058	85.62890	32.26503	19.49952	41.01118	14.07217	72.82337	53.06893	36.20031	89.61629
2018-05-05 10:25:00	8630330696303481735	0.00000	8.59872	12.73575	6.87469	12.29786	9.01223	11.93970	14.71793	39.34884	0.00250	77.01293	47.63995	19.64128	43.84908	79.00977	70.61875	28.00278	18.83926	90.95995	88.63612	40.93002
2018-05-05 10:26:00	8630330696303481248	1.00000	8.96073	14.83881	16.46121	12.00503	11.26584	15.04542	12.05397	26.59130	0.02037	61.14446	41.34864	52.34165	82.07949	58.24174	30.19566	41.66944	16.10856	0.34207	47.37984	73.43914
2018-05-05 10:27:00	359043379931766908	1.00000	9.84544	10.07580	13.21559	6.72003	11.74078	14.50886	15.89149	47.52961	0.00017	22.05744	39.49062	31.81830	94.30906	42.10647	26.58371	64.92481	50.11693	18.50986	70.71432	40.04419
2018-05-05 10:28:00	8630330696303481438	1.00000	8.36671	12.19563	14.06656	15.62300	10.86035	16.96345	14.78530	51.26321	0.00146	56.67656	50.57873	19.31794	77.47681	92.20826	38.05612	56.14099	21.96809	20.24725	58.37205	60.85553
2018-05-05 10:29:00	863033069630348735	0.00000	12.19242	12.25583	14.30411	14.12440	5.15462	19.18194	14.30564	24.34527	0.00154	46.88184	44.15376	95.69296	36.05205	30.94570	4.94422	1.41419	16.28598	74.22841	59.20562	59.75573
2018-05-05 10:30:00	8630330696303482014	0.00000	16.93347	11.24164	15.01132	8.12549	7.38814	20.10294	18.70304	41.14928	0.00057	51.09656	48.96302	86.29713	76.98071	25.57192	41.10016	29.39846	1.78967	38.37705	53.18231	97.37008
2018-05-05 10:31:00	8630330696303481701	1.00000	12.37412	13.44404	11.45049	15.24688	7.26839	15.32406	16.69511	49.54770	0.00506	42.25427	63.01418	67.68666	67.76839	43.66171	81.92201	41.14291	10.91188	69.23300	56.68953	62.51077
2018-05-05 10:32:00	8630330696303482170	1.00000	8.79727	15.99769	13.51328	17.64322	12.16122	15.32421	15.11216	35.29415	0.06489	50.08091	37.92316	72.03410	85.19160	24.98053	5.13447	9.30284	84.12050	12.31104	77.14365	72.14258
2018-05-05 10:33:00	8630330696303481388	1.00000	10.88873	8.95500	7.22400	13.34232	9.80823	16.78476	14.23307	61.92653	0.00007	48.67222	49.31218	72.31453	36.53552	22.77374	65.84465	72.00027	75.21015	86.84268	54.45635	73.44206
2018-05-05 10:34:00	359043379931766007	1.00000	9.11272	10.15482	13.10334	11.58190	11.92521	15.25447	10.70959	72.09553	0.00020	52.12356	30.46446	33.92911	66.36841	17.48665	71.32632	93.02049	63.71121	29.56716	16.06942	93.26037
2018-05-05 10:35:00	3590433799317661321	1.00000	9.19965	17.71621	16.36488	19.04338	10.74878	13.48539	16.65078	40.72969	0.36179	70.18512	44.88919	46.81642	33.68897	72.35149	30.80137	75.89849	91.06589	33.47779	34.30903	44.48120
2018-05-05 10:36:00	359043379931766767	1.00000	10.72072	11.53565	14.85062	15.03676	17.70170	13.20539	10.03369	58.51620	0.00075	57.03104	82.50566	25.49520	75.01557	2.15015	51.25491	90.83885	6.17913	92.94933	74.06439	66.38020
2018-05-05 10:37:00	359043379931766072	0.00000	9.72687	9.29732	9.53944	12.19509	10.25057	16.40433	14.24634	65.13079	0.00009	28.66767	44.17468	55.89643	90.41739	35.52226	88.79015	31.47167	5.95157	46.44963	59.88924	55.68625
2018-05-05 10:38:00	8630330696303481115	1.00000	9.58912	14.01912	16.35854	16.22321	10.46030	14.19054	16.12882	48.92894	0.00898	53.34732	38.46982	80.40889	63.64887	3.56938	63.44924	17.97411	84.15543	76.17726	29.27965	8.06796
2018-05-05 10:39:00	8630330696303481610	0.00000	10.23885	7.30373	11.97965	11.93090	12.01543	16.00047	14.49081	44.36838	0.00002	63.43629	39.85529	39.32490	8.40646	44.38206	37.12086	16.44275	47.94269	64.69384	33.62585	43.72080
2018-05-05 10:40:00	3590433799317662196	1.00000	11.13009	12.11926	15.26148	14.31908	15.37232	14.27418	11.97353	51.97057	0.00135	45.60079	57.17354	93.26237	7.08715	70.18741	88.74349	10.78410	58.06955	1.71391	82.12419	1.42809
2018-05-05 10:41:00	8630330696303481420	0.00000	17.42105	9.11844	14.82237	4.25827	13.99695	14.96991	15.57966	58.07552	0.00007	52.35878	51.78004	13.38280	1.83598	35.84480	71.27373	0.44479	42.82575	64.40909	56.10579	2.12441
2018-05-05 10:42:00	8630330696303481198	1.00000	9.90607	10.62580	14.25159	19.03213	11.00294	17.90876	17.78197	19.84377	0.00031	41.87654	57.86313	54.42194	20.54356	89.55716	77.08365	76.47768	42.23866	64.71105	39.24572	61.59682
2018-05-05 10:43:00	3590433799317661701	0.00000	13.98026	11.68201	16.16638	8.84673	8.50425	17.94187	14.90937	43.28129	0.00087	42.90433	43.41362	91.73040	40.13887	51.97658	92.16766	95.28776	78.10398	77.54190	35.12382	86.80251
2018-05-05 10:44:00	8630330696303481289	0.00000	13.70680	9.99328	11.06465	12.28968	11.98969	9.53624	10.51661	62.48628	0.00017	43.16738	42.73453	30.85310	67.21303	44.95095	64.28320	62.98421	54.97452	7.80727	80.23531	23.31113
2018-05-05 10:45:00	359043379931766650	0.00000	17.50031	12.54308	13.25927	9.39898	9.54143	14.73541	15.29482	57.47011	0.00205	41.05264	48.53603	75.83234	91.52031	78.85473	85.78656	98.32678	6.70341	61.67002	91.00339	79.54653
2018-05-05 10:46:00	8630330696303481842	1.00000	10.46127	9.49887	13.68638	13.76178	16.67365	14.17381	9.75249	67.38571	0.00010	61.34387	38.53676	1.00411	65.83150	61.82187	14.30068	32.52838	41.08867	80.58685	62.43451	59.12190
2018-05-05 10:47:00	359043379931766320	1.00000	11.24000	10.89023	10.33429	16.92550	13.12363	12.29335	18.16821	73.87655	0.00040	52.58137	24.45500	16.90793	81.77414	9.77494	43.36063	50.84149	91.64770	51.03494	50.67249	28.41764
2018-05-05 10:48:00	8630330696303481164	0.00000	15.19524	10.76800	13.25783	9.49310	9.51212	15.55018	13.40369	61.81842	0.00036	59.10886	24.96784	51.60860	15.67661	9.32470	83.60579	23.06056	27.05603	93.61309	8.54479	84.85086
2018-05-05 10:49:00	8630330696303481826	1.00000	9.97641	13.21190	13.12909	15.20543	14.28642	15.04361	12.08284	50.96993	0.00401	51.62868	53.07520	28.99518	24.87675	59.55078	52.05146	47.55427	6.63056	45.65128	7.84100	68.47877
2018-05-05 10:50:00	863033069630348958	1.00000	9.11883	18.72334	17.37926	14.45898	12.77836	13.27454	16.16600	42.18575	0.99047	49.53152	64.00868	34.92628	83.34942	70.91842	33.84562	33.43141	74.25490	43.62512	77.21849	30.52306
2018-05-05 10:51:00	863033069630348172	1.00000	12.55512	8.09338	16.50021	12.98229	14.97993	12.83092	11.11947	55.99895	0.00003	57.19713	54.20327	11.28200	27.54434	4.52958	76.58309	30.63716	88.85606	52.89692	8.18507	48.11019
2018-05-05 10:52:00	863033069630348149	0.00000	12.48727	11.39704	10.43223	12.61058	9.25162	15.40379	13.05655	79.61684	0.00066	67.79942	31.99817	2.75871	85.37516	70.63327	11.97927	23.15151	56.29843	97.62927	24.16938	4.08193
2018-05-05 10:53:00	359043379931766411	1.00000	13.61492	10.30249	11.87822	14.79538	7.16976	18.83563	11.22011	73.01764	0.00022	9.40986	26.16781	24.67132	88.76646	76.09380	2.89320	33.27798	5.63059	0.32373	85.57980	92.05561
2018-05-05 10:54:00	8630330696303481131	1.00000	11.46298	12.12623	16.03501	12.27781	14.68164	14.29015	10.81213	38.13936	0.00136	54.95276	63.97913	90.25293	52.87561	29.02426	4.81003	66.72969	40.17041	23.71061	30.87820	46.91279
2018-05-05 10:55:00	3590433799317662196	0.00000	11.25377	13.62343	13.91546	15.57660	12.03390	13.17780	14.95643	41.81338	0.00605	36.93982	47.31364	92.45633	16.84061	2.30318	90.37959	90.22235	30.19918	28.53512	6.45166	40.60710
2018-05-05 10:56:00	8630330696303482287	0.00000	8.57951	11.47908	9.80699	6.18993	11.14115	10.80856	16.09508	58.28747	0.00071	44.70530	33.17663	60.33536	46.98584	1.53204	31.75974	11.55889	74.33648	29.64790	2.02178	41.25950
2018-05-05 10:57:00	8630330696303481305	1.00000	13.03758	9.05052	13.32403	12.81886	10.50515	19.40002	12.47399	30.94522	0.00007	52.75824	51.77852	23.13887	85.82772	67.88064	21.39470	44.76339	79.62343	73.08336	83.18640	41.70242
2018-05-05 10:58:00	863033069630348479	1.00000	11.76931	12.07368	17.49597	14.04562	15.23779	14.35767	8.82427	50.39956	0.00129	61.18372	38.11548	64.75455	18.47342	35.83716	67.23703	75.43394	75.02225	55.25905	14.59738	5.32732
2018-05-05 10:59:00	359043379931766619	1.00000	10.27180	11.16776	12.42766	8.71588	10.46952	14.53367	14.34393	62.25005	0.00053	46.50197	46.54371	50.48669	32.36146	72.37284	73.18104	92.21164	4.56804	35.92634	48.69503	92.71103
2018-05-05 11:00:00	863033069630348172	1.00000	11.01083	14.44438	14.47025	13.05840	7.77247	14.24476	11.21583	45.36190	0.01373	56.75685	28.46589	54.73774	66.92378	35.95532	34.89988	90.76448	69.74790	95.36840	80.28082	66.32063
2018-05-05 11:01:00	3590433799317662089	0.00000	13.20282	6.98523	9.99513	11.89658	10.19445	9.90764	9.50562	77.61834	0.00002	36.95247	60.62794	25.22819	13.58768	2.43760	96.96299	11.11141	75.39040	92.01320	41.07948	99.31939
2018-05-05 11:02:00	359043379931766304	1.00000	12.22316	8.28358	13.55090	16.46781	13.66774	13.47944	13.02957	57.81845	0.00004	60.45545	41.39697	83.23570	72.48621	18.87353	94.74771	24.55005	89.03286	60.33354	45.68070	43.94909
2018-05-05 11:03:00	3590433799317661172	0.00000	11.35877	10.94866	12.32240	10.32069	10.87114	14.49593	15.68643	42.04728	0.00042	47.02553	73.19236	23.76280	40.10623	42.76666	35.78178	38.38157	29.51333	30.19389	83.79884	19.32285
2018-05-05 11:04:00	3590433799317662402	1.00000	11.56443	9.99834	13.75143	13.35195	13.76036	13.85763	13.16810	49.32825	0.00017	43.60276	53.03231	57.32975	66.55954	89.00584	67.95765	74.36733	9.37473	30.79271	50.39865	4.87442
2018-05-05 11:05:00	3590433799317661461	1.00000	12.01645	8.89095	16.55444	14.00869	15.50375	14.33371	9.72825	62.77554	0.00007	35.45391	39.52769	69.78860	83.34547	81.64066	44.80991	78.24451	31.65680	12.83942	29.47101	7.28874
2018-05-05 11:06:00	8630330696303482469	0.00000	14.24413	9.85145	15.75223	10.80697	10.66205	14.75785	16.77073	48.19842	0.00015	68.69757	58.03006	1.70811	36.09196	64.62014	91.12051	45.35766	97.92128	59.87003	7.23325	63.57488
2018-05-05 11:07:00	359043379931766411	1.00000	7.44327	12.76333	15.81098	13.91430	10.54692	16.07893	16.79962	61.41284	0.00256	47.53463	16.37810	41.81710	71.97945	72.95035	47.21137	34.11048	77.31601	16.62173	47.41614	10.86424
2018-05-05 11:08:00	3590433799317661925	0.00000	9.43399	12.01994	6.36919	12.43061	9.93436	11.91862	14.28080	51.63616	0.00123	49.24504	51.66297	8.58454	88.83087	19.07665	43.78215	61.36515	70.98693	65.50331	96.74164	74.21251
2018-05-05 11:09:00	8630330696303481511	1.00000	10.78355	10.19157	11.35838	12.62766	10.09119	16.42992	14.45742	34.47441	0.00021	50.25991	30.43335	13.27289	75.36016	54.64804	68.42998	10.46545	76.79986	76.59727	18.35357	92.00973
2018-05-05 11:10:00	3590433799317661396	0.00000	11.04729	12.02014	12.63415	17.10687	8.10113	15.40708	16.62888	75.80179	0.00123	25.49776	62.94899	67.26882	21.72649	18.41848	76.24092	67.12986	53.85108	56.00943	70.40194	17.65267
2018-05-05 11:11:00	359043379931766510	0.00000	17.58166	11.45253	15.61256	8.94627	13.47041	12.92325	13.29519	14.45200	0.00070	64.74134	16.73051	5.29807	3.77231	70.79149	92.45590	72.99391	54.38760	26.31569	82.48421	25.00619
2018-05-05 11:12:00	8630330696303482113	0.00000	10.23484	10.77190	17.44618	12.38459	10.97905	15.52517	17.01956	45.55503	0.00036	42.05890	50.16271	79.69409	43.97576	38.87661	51.40209	34.81807	65.04215	39.93979	96.56232	21.09974
2018-05-05 11:13:00	8630330696303481859	0.00000	12.07172	10.75092	10.94436	10.88475	9.66218	14.78289	12.54316	40.05712	0.00035	45.58093	29.84907	98.87474	61.03078	99.73734	0.09673	53.20780	78.35489	26.51106	38.72144	6.85992
2018-05-05 11:14:00	8630330696303482311	1.00000	13.67814	13.54833	17.23385	16.17265	9.09116	13.30663	14.17172	43.39528	0.00561	47.19050	45.57123	14.56150	51.10419	67.89688	35.31616	65.10135	56.98223	34.76891	88.74397	0.81981
2018-05-05 11:15:00	863033069630348412	1.00000	7.99551	14.48622	15.80429	18.12892	9.49288	18.42825	17.17732	88.19986	0.01432	28.88368	40.86165	86.40384	1.98746	26.68410	99.30957	29.76883	15.08497	91.29744	53.66812	28.75958
2018-05-05 11:16:00	3590433799317661263	0.00000	14.68416	10.95843	17.45670	10.50347	13.73106	12.16013	17.20705	59.04800	0.00044	40.10636	41.33082	22.06439	10.79978	80.14178	12.75114	60.92784	53.98820	95.72637	64.88152	79.72909
2018-05-05 11:17:00	3590433799317661776	1.00000	10.28463	14.55794	15.76781	13.45418	8.73473	14.34234	15.04087	44.05462	0.01538	76.94670	20.30257	77.32375	69.17524	1.12130	21.58496	70.61835	95.41117	12.04558	17.77040	81.27994
2018-05-05 11:18:00	8630330696303482006	1.00000	9.27466	9.33113	12.15095	16.55475	13.26130	15.88535	10.26164	55.64787	0.00009	65.15977	44.25149	33.03627	49.55723	74.64302	75.22896	50.87721	78.21701	0.31276	88.74017	43.10852
2018-05-05 11:19:00	8630330696303482154	0.00000	11.75550	11.52657	9.05280	8.07032	8.60173	13.72388	11.58667	45.27267	0.00075	40.15246	41.00654	11.12855	31.43920	82.37065	97.77605	87.83402	5.51325	94.66243	18.35247	93.84561
2018-05-05 11:20:00	3590433799317662212	1.00000	13.12036	12.88292	13.35821	12.34607	7.48569	16.89292	9.70900	59.20725	0.00289	44.02813	56.37042	12.51524	55.62203	23.09680	96.45415	0.22634	2.18163	84.18699	56.88421	26.32851
2018-05-05 11:21:00	8630330696303481909	0.00000	13.18006	8.61366	11.29239	12.69986	11.79553	11.42996	12.32999	52.68074	0.00005	42.32443	41.62981	25.64571	31.51986	56.01444	10.12653	96.80815	13.99393	46.48224	49.35545	65.00852
2018-05-05 11:22:00	3590433799317661842	1.00000	10.75395	15.65309	14.04837	15.19317	12.58179	12.94282	15.76511	53.20666	0.04598	50.86242	31.38863	26.00205	0.24021	6.75026	86.48031	1.63152	38.71776	89.06864	67.09901	23.20235
2018-05-05 11:23:00	8630330696303482238	1.00000	11.87435	16.42958	15.93084	14.33668	12.31073	11.80657	14.34409	36.77788	0.09993	41.30826	35.98378	47.28688	44.50728	7.77007	32.10859	14.87080	12.38373	31.72990	79.17738	76.22591
2018-05-05 11:24:00	3590433799317661586	0.00000	11.19631	10.72580	10.86853	11.97205	10.44427	16.57577	13.39783	50.98265	0.00034	66.08214	44.19455	93.66461	40.68851	35.07950	66.26478	60.98953	64.28930	51.91296	41.58098	1.92185
2018-05-05 11:25:00	359043379931766361	0.00000	13.71606	11.58368	14.56113	13.38249	9.47156	14.44100	13.75896	68.39194	0.00079	31.97222	55.71939	66.92361	55.98715	38.40980	89.56402	88.41440	57.93790	25.44465	95.89724	13.58222
2018-05-05 11:26:00	8630330696303481289	0.00000	13.29000	8.46978	11.56199	5.80638	10.26279	17.39597	16.19225	48.20555	0.00005	60.34381	45.19081	51.82591	50.27736	64.74138	5.59290	2.19613	80.99689	51.31998	56.04773	92.69123
2018-05-05 11:27:00	863033069630348768	0.00000	10.62482	10.73503	9.71805	8.68279	9.70775	12.33473	13.69060	68.27943	0.00034	48.74228	29.79388	53.46498	72.70754	47.33392	50.32052	64.80891	40.22937	20.86071	55.06758	6.11378
2018-05-05 11:28:00	863033069630348958	0.00000	10.74801	10.72618	9.93390	11.38112	11.66596	14.36404	14.63276	50.04707	0.00035	39.24855	54.98566	84.10862	79.12399	1.66656	13.95260	17.05148	96.92979	0.60833	84.50874	79.05587
2018-05-05 11:29:00	3590433799317661842	1.00000	10.40599	12.15693	15.34981	12.69904	9.34804	13.50814	17.02681	53.46533	0.00140	46.85735	67.14953	3.43498	57.49644	39.05637	56.61907	32.36884	75.53849	52.40696	94.50884	35.35270
2018-05-05 11:30:00	3590433799317661248	1.00000	10.61244	7.95102	12.44347	14.75403	13.64830	13.90380	11.68957	73.40087	0.00003	37.81094	53.37727	86.78404	66.00881	41.06981	65.21717	33.68514	47.43973	84.33639	70.43521	7.35112
2018-05-05 11:31:00	3590433799317661826	1.00000	9.97743	13.49701	13.59290	12.38864	14.89728	13.22708	12.63251	51.82634	0.00533	21.17856	36.50714	43.86889	75.96693	54.21847	5.92009	62.84140	45.27479	24.36159	5.97161	73.97747
2018-05-05 11:32:00	863033069630348750	1.00000	10.43431	11.24964	16.40504	17.10977	15.80426	16.50762	8.58788	42.39261	0.00057	54.70392	35.74481	62.55016	7.00691	64.71461	42.32865	69.12058	43.02680	20.00892	31.64314	51.30235
2018-05-05 11:33:00	3590433799317661446	0.00000	13.45761	11.98858	14.17575	12.77651	7.61942	16.56129	15.16644	58.54047	0.00119	45.24480	38.30071	8.71241	4.48893	35.06592	29.46577	66.94362	14.31045	12.88636	1.86938	45.08824
2018-05-05 11:34:00	8630330696303481644	1.00000	9.21764	14.06677	15.62421	17.96934	11.89851	16.29604	16.13329	57.90165	0.00942	46.08893	45.65010	52.64575	13.69086	45.21332	56.33074	9.76823	22.49012	6.02725	1.85917	26.69680
2018-05-05 11:35:00	359043379931766494	1.00000	10.95525	17.32321	18.14554	13.38876	7.09665	14.40428	13.43492	55.01553	0.24422	58.59348	46.01368	54.52794	47.31050	20.38723	72.40849	81.23008	82.04561	12.39359	17.86817	35.40735
2018-05-05 11:36:00	359043379931766080	0.00000	9.87655	10.40024	11.17835	10.24402	10.68308	15.04807	13.20236	52.38536	0.00025	38.41448	40.77886	51.41089	11.02965	2.79062	40.30089	77.47537	88.42197	8.80877	93.07040	44.93054
2018-05-05 11:37:00	3590433799317661354	1.00000	11.27232	16.59881	16.65231	14.31691	10.28877	12.81174	14.73331	55.30389	0.11837	67.91195	44.56879	5.74484	68.53879	51.44987	24.93523	44.35908	99.27277	76.37334	15.53220	29.13983
2018-05-05 11:38:00	3590433799317662162	1.00000	10.60642	14.51540	11.27983	15.23036	8.52388	15.45544	13.00873	48.55505	0.01475	38.46345	62.44312	89.55887	31.44095	92.77989	91.34722	55.39809	59.87399	50.26312	10.71428	59.84810
2018-05-05 11:39:00	3590433799317662436	0.00000	11.28572	10.34564	11.47437	9.05533	10.81768	15.83309	12.51299	52.52365	0.00024	58.59266	40.69065	0.22873	11.03600	2.68868	92.58128	19.89764	33.02109	51.01443	89.13565	94.88591
2018-05-05 11:40:00	3590433799317662345	1.00000	9.77863	11.23418	11.25175	14.40294	14.61374	13.95701	12.94555	60.02236	0.00056	39.31096	64.18328	89.10273	59.14014	68.26833	22.55903	31.15789	8.33873	50.50982	70.02756	67.24462
2018-05-05 11:41:00	863033069630348313	1.00000	9.16482	15.84746	15.51485	12.20935	7.66802	17.55122	10.80649	51.56035	0.05584	39.76184	63.80053	27.20860	25.79541	83.41428	38.16795	3.79647	14.52519	7.83333	72.76670	33.65034
2018-05-05 11:42:00	359043379931766288	0.00000	11.68478	11.33837	12.74871	7.84295	11.91182	16.99854	12.29602	47.45357	0.00062	55.43818	72.13048	63.64843	43.00369	4.06469	17.02528	45.82624	8.73762	1.78706	53.81101	9.81193
2018-05-05 11:43:00	3590433799317662436	0.00000	13.50199	12.02753	16.44959	15.00323	8.88396	15.43375	17.01559	57.32488	0.00124	47.71368	84.54961	0.32214	80.40156	89.15621	8.56686	44.26628	3.07522	61.83217	25.84027	72.16895
2018-05-05 11:44:00	8630330696303481842	0.00000	15.23322	10.04724	13.82351	7.77935	11.65139	14.21982	13.04270	74.42165	0.00017	32.23129	31.99872	4.25576	60.10955	91.98924	89.95634	75.05031	36.71017	55.43633	69.17682	88.67856
2018-05-05 11:45:00	359043379931766320	0.00000	11.67350	12.57538	8.92143	11.80455	10.69490	16.20278	12.90769	46.10456	0.00212	82.89677	34.80960	77.68669	93.00194	20.88829	24.51860	63.63863	73.86685	43.55117	27.15087	98.36063
2018-05-05 11:46:00	3590433799317662345	1.00000	8.95851	15.28885	11.78291	14.99171	14.22239	12.88356	15.69839	55.65619	0.03194	27.85533	63.06238	18.63301	43.83731	33.95742	80.63715	96.05183	34.02263	18.00694	96.93205	57.28813
2018-05-05 11:47:00	863033069630348305	1.00000	11.55923	14.79791	15.67969	13.85371	10.39558	14.54184	12.90538	80.73504	0.01956	40.55663	25.61946	93.02631	67.67784	51.53320	79.01027	37.87050	8.47370	86.82606	59.67846	18.72235
