,mwra
1491,1.0
32915,1.0
3113,1.0
41484,1.0
48126,1.0
25483,1.0
21350,1.0
25253,0.0
13290,0.0
41487,0.0
25672,0.0
21449,1.0
45881,1.0
12831,0.0
3835,1.0
14207,0.0
13152,1.0
285,1.0
40182,0.0
32802,0.0
34400,1.0
43202,1.0
447,1.0
22848,0.0
29643,1.0
8246,0.0
32346,0.0
43717,1.0
41387,0.0
25928,0.0
27017,0.0
34662,0.0
16808,1.0
14543,1.0
4737,1.0
32880,1.0
44571,1.0
7049,1.0
11807,1.0
204,1.0
12469,1.0
46100,0.0
9981,1.0
24456,1.0
11993,1.0
20340,0.0
16180,1.0
36937,0.0
7350,0.0
28035,1.0
41241,1.0
8410,0.0
10342,1.0
18035,0.0
12635,0.0
45798,1.0
42764,1.0
3922,0.0
22425,0.0
29707,1.0
34050,0.0
29660,1.0
36869,0.0
4149,0.0
30853,0.0
86,1.0
36202,0.0
5273,1.0
21317,0.0
41008,0.0
38550,0.0
24271,1.0
44010,0.0
30610,1.0
6690,1.0
11429,0.0
2715,1.0
27242,1.0
45305,0.0
29440,1.0
22602,0.0
14611,0.0
14539,1.0
14845,1.0
27896,1.0
37719,0.0
47919,1.0
464,1.0
3622,1.0
24470,1.0
40699,1.0
22067,0.0
42763,1.0
9572,1.0
16337,0.0
8765,1.0
43425,1.0
3200,1.0
43511,1.0
36246,0.0
5014,1.0
32186,0.0
28275,1.0
23028,1.0
40305,1.0
13972,1.0
32233,1.0
33488,0.0
9172,0.0
30070,1.0
26664,1.0
22125,1.0
28355,1.0
45463,0.0
26647,1.0
6118,0.0
3876,0.0
18849,1.0
42485,0.0
14993,0.0
2650,0.0
6686,0.0
6346,1.0
38786,1.0
39800,1.0
30097,1.0
21838,1.0
16768,1.0
44439,1.0
2133,0.0
12104,1.0
13094,1.0
5117,1.0
45975,0.0
19890,0.0
4990,1.0
6146,0.0
17036,1.0
13695,1.0
24675,0.0
43166,1.0
14402,0.0
29357,1.0
27615,1.0
2258,0.0
29547,0.0
34070,0.0
46990,1.0
4420,1.0
24148,1.0
20261,1.0
42664,1.0
43921,0.0
18111,0.0
17483,1.0
2052,0.0
32282,0.0
13301,0.0
263,0.0
47914,1.0
20573,1.0
26858,0.0
11269,0.0
19957,0.0
1194,0.0
18765,1.0
20861,1.0
3177,1.0
46814,1.0
13400,0.0
1817,0.0
37689,1.0
18094,1.0
39771,0.0
8902,0.0
41602,1.0
23124,1.0
37961,1.0
32279,0.0
29564,1.0
18224,0.0
40983,0.0
41940,1.0
31782,1.0
32207,1.0
46450,1.0
13999,1.0
3886,1.0
23388,1.0
494,1.0
47000,1.0
25891,0.0
43321,1.0
28593,1.0
35023,0.0
32202,0.0
33977,0.0
1274,1.0
19145,0.0
16429,1.0
40890,1.0
24778,0.0
22652,0.0
37442,0.0
4439,1.0
42133,1.0
31872,1.0
7908,1.0
33867,0.0
31808,1.0
810,1.0
40212,1.0
9294,0.0
2308,1.0
13464,0.0
11077,1.0
18057,1.0
5795,0.0
6482,0.0
42829,0.0
12403,1.0
12597,1.0
24688,1.0
45259,1.0
47482,0.0
2898,0.0
37831,1.0
27971,0.0
13108,1.0
25615,0.0
15153,0.0
23433,1.0
3615,1.0
41421,0.0
46738,1.0
34517,0.0
31593,1.0
4185,1.0
9037,0.0
40582,0.0
5489,0.0
37484,1.0
38207,1.0
12103,1.0
32570,1.0
28126,0.0
18948,0.0
4540,1.0
28855,0.0
16969,1.0
34752,0.0
13501,1.0
34425,1.0
4939,1.0
5189,0.0
19021,1.0
46839,1.0
5989,1.0
37314,1.0
26545,1.0
10453,1.0
44229,0.0
6070,0.0
39203,1.0
38202,1.0
29110,1.0
3500,0.0
7164,1.0
43230,1.0
48216,1.0
27282,1.0
42699,1.0
44361,1.0
47707,1.0
509,1.0
4416,1.0
27904,1.0
40958,1.0
107,1.0
26030,1.0
33147,1.0
966,0.0
18726,1.0
27779,1.0
35734,0.0
35258,1.0
35251,1.0
26740,1.0
37479,1.0
39356,1.0
19308,1.0
31855,1.0
43094,0.0
40405,0.0
13997,1.0
14854,0.0
35573,1.0
16264,0.0
42392,1.0
5941,0.0
24374,1.0
23832,0.0
28209,1.0
377,0.0
19148,0.0
24178,1.0
2867,0.0
28848,0.0
11212,0.0
41294,0.0
10385,0.0
30986,0.0
38489,0.0
46919,1.0
18736,1.0
26725,1.0
13883,1.0
42177,1.0
30555,1.0
24375,1.0
18285,1.0
9298,0.0
6112,1.0
26450,0.0
8372,1.0
40200,1.0
10989,1.0
32511,1.0
12725,0.0
8357,0.0
28200,0.0
18737,1.0
43003,1.0
24985,1.0
42834,0.0
43504,0.0
10630,1.0
21603,1.0
10824,0.0
2043,1.0
48214,1.0
11099,1.0
14944,0.0
18956,1.0
35491,1.0
22530,0.0
17457,1.0
32976,1.0
31832,1.0
18483,0.0
18841,0.0
30937,1.0
3102,1.0
5613,1.0
1427,0.0
27168,0.0
24186,0.0
40534,0.0
36918,0.0
20089,1.0
28773,1.0
15699,0.0
29976,0.0
47738,0.0
6136,1.0
46663,0.0
5288,1.0
20450,0.0
22915,0.0
17961,1.0
7900,0.0
39547,0.0
24573,1.0
13325,1.0
36151,1.0
31462,0.0
27972,0.0
2935,1.0
27699,0.0
2232,1.0
40440,1.0
41619,1.0
38755,1.0
20487,1.0
15188,1.0
11873,0.0
26326,0.0
8508,0.0
14398,1.0
7279,0.0
13468,0.0
23015,1.0
38878,1.0
21674,1.0
47091,0.0
23602,0.0
23356,0.0
42076,1.0
40939,0.0
278,1.0
6646,1.0
43000,1.0
45298,1.0
6275,1.0
36316,1.0
374,0.0
12917,1.0
45173,0.0
9440,1.0
17212,1.0
38365,1.0
15878,1.0
11551,1.0
6514,1.0
1146,1.0
35128,0.0
36806,0.0
29366,1.0
22039,1.0
28332,0.0
38311,1.0
47901,1.0
18112,0.0
16144,0.0
43726,1.0
27767,0.0
22309,0.0
32941,1.0
21799,1.0
7281,1.0
5137,1.0
396,1.0
48101,1.0
16831,0.0
46675,1.0
43524,1.0
4148,0.0
36761,1.0
36339,1.0
41753,0.0
20205,0.0
31023,0.0
32497,0.0
30662,0.0
398,1.0
7567,0.0
30315,1.0
30244,0.0
37607,1.0
33797,1.0
11734,0.0
46884,0.0
43351,1.0
41218,0.0
36459,1.0
6987,0.0
21272,1.0
29397,1.0
41675,0.0
16293,1.0
4183,1.0
41465,0.0
566,0.0
11521,0.0
47403,1.0
41694,0.0
30648,0.0
10575,0.0
6247,1.0
37107,1.0
43247,1.0
14598,0.0
7605,0.0
6024,0.0
26852,0.0
23540,1.0
30680,1.0
12418,1.0
48377,1.0
33779,1.0
26397,1.0
16079,1.0
8993,1.0
19303,1.0
3388,1.0
11335,0.0
46343,0.0
17363,0.0
9548,1.0
26653,0.0
8686,0.0
28130,0.0
25326,1.0
26674,0.0
33309,1.0
43124,1.0
26581,0.0
8768,1.0
29262,1.0
24258,0.0
4048,1.0
21190,0.0
17638,0.0
16196,0.0
22069,0.0
37091,0.0
15411,1.0
7236,1.0
46784,0.0
20440,1.0
44913,1.0
26041,0.0
9103,1.0
24110,0.0
2679,0.0
22109,1.0
24168,1.0
7375,0.0
12353,1.0
2505,0.0
23013,0.0
27072,1.0
40224,0.0
19151,0.0
16055,1.0
36197,0.0
2714,1.0
13702,1.0
9697,0.0
27161,1.0
22070,0.0
34023,0.0
17311,0.0
12338,0.0
6375,0.0
24267,0.0
28045,1.0
20241,0.0
7315,0.0
4928,0.0
20486,1.0
39604,1.0
5242,1.0
18363,0.0
8047,1.0
13674,1.0
16033,1.0
4235,0.0
44967,0.0
8723,1.0
17193,1.0
48340,0.0
16170,0.0
32048,1.0
12790,0.0
31947,1.0
22177,0.0
39215,1.0
13177,1.0
5826,1.0
9619,1.0
11119,0.0
21430,1.0
47587,0.0
41788,1.0
24777,0.0
40714,0.0
22577,0.0
9048,1.0
2622,0.0
23394,1.0
20844,1.0
30894,1.0
47588,1.0
47078,1.0
3108,1.0
1416,1.0
24823,0.0
42883,1.0
35014,1.0
3495,0.0
16358,1.0
34885,0.0
28872,1.0
11960,0.0
38178,1.0
35088,1.0
29522,0.0
42397,1.0
16880,0.0
43930,0.0
26873,1.0
43007,0.0
36970,1.0
32723,0.0
10484,1.0
26573,1.0
31814,0.0
5775,1.0
40367,1.0
29186,1.0
47732,0.0
5148,1.0
39347,1.0
17647,0.0
6549,1.0
31907,1.0
45551,0.0
9658,0.0
33533,1.0
26885,0.0
39128,0.0
33619,0.0
16948,0.0
12678,1.0
35764,0.0
46415,1.0
9299,1.0
353,1.0
1133,1.0
15566,0.0
29983,0.0
26218,1.0
12301,1.0
31506,0.0
39810,1.0
41538,1.0
31464,1.0
16883,1.0
12033,1.0
43161,0.0
19888,0.0
43087,1.0
40041,1.0
31372,0.0
37119,0.0
18463,1.0
10044,1.0
2825,1.0
46418,0.0
14766,0.0
4032,0.0
46469,1.0
44536,0.0
18729,1.0
33031,0.0
19293,0.0
24461,0.0
10085,0.0
5536,0.0
36616,0.0
4077,1.0
48055,1.0
5981,1.0
28431,0.0
9035,1.0
16329,0.0
29180,0.0
38373,1.0
479,1.0
45212,0.0
28291,0.0
266,0.0
46348,1.0
26860,0.0
1090,1.0
18341,0.0
20896,0.0
47678,0.0
25764,1.0
21916,1.0
42270,0.0
2337,0.0
39677,0.0
37854,1.0
28085,1.0
5134,1.0
14115,1.0
43711,1.0
3007,1.0
39143,1.0
9568,1.0
44364,1.0
21501,1.0
46317,1.0
8934,1.0
25961,0.0
16380,1.0
45166,0.0
10568,1.0
46769,0.0
6339,1.0
15769,1.0
13462,0.0
6246,1.0
40885,1.0
2220,0.0
28492,1.0
14976,1.0
40470,0.0
7030,1.0
774,0.0
573,1.0
13041,1.0
25800,0.0
1465,1.0
6167,1.0
3367,0.0
13475,1.0
7492,1.0
43834,0.0
34004,1.0
21697,1.0
33155,0.0
12481,1.0
16311,1.0
32578,0.0
19706,1.0
44639,0.0
30152,1.0
35968,0.0
883,0.0
7303,1.0
43685,0.0
22376,1.0
11,0.0
11813,0.0
10448,1.0
4523,0.0
7231,1.0
36508,0.0
45148,0.0
24545,0.0
10917,0.0
26180,1.0
24779,0.0
16751,1.0
14653,1.0
29284,1.0
7528,0.0
4756,0.0
30976,1.0
41512,1.0
26360,1.0
16714,0.0
8054,0.0
5886,0.0
8359,1.0
19916,1.0
44852,1.0
18294,1.0
2333,0.0
36544,1.0
42237,1.0
45343,1.0
13661,0.0
22472,1.0
21920,1.0
5883,1.0
7002,1.0
8801,1.0
33562,1.0
41633,1.0
268,0.0
3142,1.0
26891,1.0
29199,1.0
4396,0.0
20820,1.0
44984,1.0
1441,0.0
23494,0.0
26497,0.0
17644,0.0
31041,1.0
13700,1.0
6527,0.0
29624,1.0
12376,1.0
45409,0.0
46883,0.0
1496,0.0
733,0.0
19012,0.0
15320,0.0
37931,0.0
6328,0.0
2072,1.0
33194,1.0
26915,0.0
45634,1.0
3219,1.0
19395,0.0
22346,1.0
4040,1.0
19419,1.0
24585,0.0
12536,1.0
444,1.0
39615,1.0
35928,1.0
16348,1.0
1336,0.0
47985,1.0
4957,0.0
3973,1.0
38574,1.0
5964,0.0
28575,0.0
17731,0.0
26810,1.0
6991,0.0
11327,0.0
42312,1.0
1474,1.0
35841,1.0
10877,0.0
1553,1.0
21261,0.0
39103,1.0
29174,0.0
37933,0.0
6043,1.0
42161,1.0
24880,1.0
15392,1.0
52,1.0
12147,1.0
274,1.0
12639,1.0
33269,1.0
31994,0.0
31208,1.0
16694,1.0
37880,0.0
35110,1.0
28119,1.0
10454,1.0
13624,1.0
33393,0.0
31902,1.0
5030,1.0
23399,1.0
39457,0.0
13581,0.0
37277,1.0
22714,1.0
16112,1.0
18786,1.0
26430,0.0
44359,1.0
33334,0.0
37734,1.0
48347,0.0
12000,0.0
452,0.0
26282,1.0
27101,0.0
40101,1.0
28041,1.0
46849,1.0
16100,0.0
20885,1.0
1878,1.0
22077,0.0
23072,1.0
32378,0.0
27875,1.0
8476,1.0
18315,1.0
13000,0.0
27755,0.0
30671,1.0
6465,1.0
42175,1.0
18527,1.0
2532,0.0
44646,1.0
25895,0.0
25205,1.0
19067,1.0
23215,1.0
15267,1.0
17411,1.0
22393,0.0
38139,0.0
25847,1.0
23,1.0
28941,0.0
9132,1.0
2807,1.0
26263,1.0
7328,1.0
12266,1.0
37264,0.0
18191,1.0
6134,0.0
9527,0.0
19421,1.0
14759,0.0
44947,1.0
14731,1.0
30066,1.0
32084,1.0
6442,0.0
34247,1.0
40465,1.0
27450,1.0
15168,0.0
29920,1.0
11438,1.0
39859,1.0
4738,1.0
1512,1.0
9810,0.0
18692,1.0
9761,0.0
29458,0.0
25806,1.0
25182,1.0
38517,1.0
17874,0.0
40272,1.0
14865,1.0
35271,1.0
2306,1.0
24479,1.0
33145,1.0
48080,0.0
1839,0.0
8500,0.0
42469,1.0
26238,1.0
29316,1.0
11947,1.0
43701,0.0
20351,1.0
47232,1.0
33501,1.0
7325,0.0
24389,0.0
33378,1.0
30258,1.0
12958,0.0
39812,1.0
33770,1.0
45188,1.0
5643,0.0
31326,1.0
36409,1.0
7380,0.0
15943,1.0
33831,1.0
7580,0.0
36965,0.0
45827,0.0
32772,1.0
45069,1.0
19253,0.0
22500,0.0
10264,1.0
2273,1.0
40340,0.0
32185,0.0
46267,1.0
11086,1.0
14555,0.0
39015,1.0
19774,1.0
36178,1.0
28741,1.0
20444,1.0
45855,1.0
14709,0.0
37963,0.0
4387,1.0
45689,1.0
41494,1.0
37676,0.0
3639,1.0
15443,1.0
10963,1.0
45128,1.0
22809,1.0
20495,1.0
31295,1.0
35652,1.0
41306,0.0
11082,1.0
39216,1.0
19785,0.0
19666,0.0
7721,1.0
24553,1.0
31172,0.0
36780,1.0
45292,0.0
15538,0.0
38521,1.0
37252,0.0
26449,1.0
41536,1.0
14682,1.0
10065,1.0
34338,1.0
28568,1.0
39115,0.0
36716,1.0
10307,0.0
9010,0.0
6456,1.0
32659,1.0
33626,1.0
7579,0.0
26895,1.0
34410,1.0
4592,0.0
7388,1.0
35291,1.0
6330,1.0
8426,1.0
768,1.0
19700,0.0
39630,1.0
40404,0.0
27514,0.0
17646,1.0
26043,1.0
13993,0.0
7720,1.0
9330,1.0
30920,1.0
34392,1.0
16811,1.0
37349,1.0
36624,1.0
43288,1.0
38376,1.0
7755,1.0
25550,1.0
42153,1.0
19891,0.0
46864,1.0
42026,0.0
45227,1.0
9974,0.0
21940,1.0
12653,1.0
23298,0.0
48175,0.0
9281,1.0
32579,0.0
2408,1.0
342,1.0
23967,0.0
11477,0.0
26004,0.0
13473,0.0
17161,0.0
40468,0.0
41927,1.0
12993,0.0
38276,0.0
22965,1.0
43184,0.0
31011,0.0
15045,1.0
16421,1.0
37033,1.0
35644,0.0
23111,0.0
28254,1.0
23836,0.0
41684,0.0
12200,0.0
35664,0.0
41395,1.0
35985,0.0
1277,1.0
11575,0.0
46886,0.0
8975,0.0
36846,1.0
2676,0.0
29702,1.0
12761,1.0
41696,1.0
20847,1.0
28197,0.0
9750,1.0
25953,1.0
14109,0.0
2758,1.0
40391,0.0
22489,1.0
7724,0.0
37704,0.0
1411,1.0
24577,1.0
4639,1.0
31635,0.0
46655,0.0
21779,1.0
7606,0.0
12733,1.0
4526,1.0
12285,1.0
25748,1.0
42173,1.0
29705,1.0
39342,1.0
22390,0.0
30963,1.0
9641,1.0
44398,0.0
37093,0.0
13728,1.0
22046,1.0
25225,1.0
29159,1.0
11509,1.0
14303,1.0
27176,0.0
42935,1.0
7152,0.0
43141,1.0
28590,1.0
31696,0.0
21210,0.0
31091,0.0
48081,0.0
7873,0.0
4202,1.0
2239,1.0
1221,1.0
1412,0.0
17995,1.0
25607,1.0
18245,1.0
3560,0.0
43115,1.0
6186,0.0
32795,0.0
13363,1.0
25869,0.0
30786,1.0
24901,0.0
4097,1.0
45938,1.0
20339,0.0
33306,1.0
31004,1.0
28782,1.0
33423,0.0
6871,0.0
41658,0.0
8231,1.0
46401,0.0
29846,1.0
23256,0.0
3635,1.0
38361,0.0
15946,1.0
18701,1.0
39145,1.0
12151,0.0
47300,1.0
42248,1.0
4514,0.0
40650,0.0
6914,0.0
29503,0.0
19415,1.0
30319,1.0
39875,1.0
34343,1.0
4342,1.0
30058,0.0
11730,1.0
4998,0.0
21585,1.0
6898,1.0
27210,1.0
38933,1.0
30179,0.0
46593,0.0
16711,1.0
24411,1.0
38802,1.0
7722,0.0
1357,1.0
12981,0.0
2525,0.0
14792,0.0
9027,0.0
40737,0.0
22339,1.0
32155,0.0
29230,0.0
33090,1.0
19092,1.0
35266,1.0
34427,1.0
29570,1.0
13214,1.0
20633,1.0
27138,1.0
19559,0.0
8133,0.0
5306,0.0
2577,0.0
38510,0.0
7978,1.0
5421,1.0
31542,1.0
8982,1.0
32304,0.0
7409,1.0
251,0.0
37747,1.0
4819,1.0
36550,1.0
19007,0.0
28239,0.0
13104,0.0
48132,1.0
18741,1.0
10261,1.0
8860,0.0
29642,1.0
42223,0.0
30043,1.0
41145,1.0
542,1.0
31956,0.0
30169,1.0
33684,0.0
8354,1.0
39465,0.0
44209,0.0
40030,0.0
33183,1.0
40154,1.0
43989,1.0
28280,1.0
44871,0.0
22018,1.0
18941,0.0
31181,0.0
6326,0.0
2917,1.0
45872,1.0
7963,1.0
44455,0.0
34382,1.0
47761,0.0
41481,1.0
33128,1.0
24988,0.0
15255,1.0
3344,1.0
43162,0.0
19690,1.0
10480,1.0
39768,0.0
12048,0.0
28443,0.0
6633,1.0
313,0.0
38924,1.0
47438,1.0
5961,0.0
4635,1.0
39073,1.0
12172,1.0
4457,1.0
15130,1.0
4194,0.0
41597,0.0
4497,1.0
13819,1.0
45309,1.0
20395,1.0
37317,1.0
46452,1.0
4650,1.0
8223,1.0
18194,1.0
15944,1.0
47737,0.0
40298,0.0
3063,0.0
45192,0.0
2115,0.0
12144,1.0
17649,0.0
248,0.0
32325,1.0
7627,1.0
48105,0.0
23759,1.0
35151,1.0
15821,0.0
32960,1.0
33057,0.0
5231,1.0
33184,1.0
83,1.0
44369,0.0
2053,0.0
33345,1.0
33920,1.0
36677,1.0
29225,0.0
46585,1.0
36137,1.0
27004,1.0
20537,1.0
17082,1.0
28576,0.0
14711,0.0
15280,1.0
48072,1.0
29770,1.0
14577,0.0
43594,0.0
4191,1.0
27662,1.0
47358,0.0
32564,1.0
30411,0.0
32829,1.0
38869,0.0
5960,1.0
43548,0.0
25549,1.0
8741,1.0
26361,1.0
40243,1.0
32918,1.0
44381,0.0
21565,1.0
723,1.0
42959,1.0
30939,1.0
2295,1.0
16581,1.0
36606,0.0
33929,1.0
37188,0.0
45695,1.0
39517,0.0
15433,0.0
39757,0.0
46080,1.0
21841,1.0
28983,0.0
6502,0.0
15594,0.0
20506,1.0
41716,1.0
28101,0.0
22550,0.0
33985,1.0
18200,1.0
41825,0.0
26495,1.0
4974,1.0
431,1.0
47145,1.0
31140,0.0
40478,0.0
8313,1.0
32438,0.0
6324,0.0
21533,1.0
25719,1.0
15719,0.0
47917,1.0
24029,1.0
11195,0.0
37827,1.0
29273,0.0
15292,1.0
35715,1.0
42740,0.0
12216,0.0
5321,1.0
14341,1.0
41625,1.0
43455,0.0
9162,0.0
38610,0.0
40032,1.0
36826,1.0
47650,0.0
8522,0.0
35907,1.0
36711,1.0
39087,1.0
37974,0.0
1555,1.0
19205,1.0
23543,0.0
22750,1.0
12791,0.0
11368,1.0
36907,0.0
28265,1.0
39014,1.0
1997,1.0
25648,0.0
15384,0.0
9992,1.0
9056,1.0
34236,0.0
45741,0.0
20170,0.0
1558,1.0
46207,0.0
8201,1.0
48056,1.0
12477,1.0
738,0.0
35989,1.0
9464,0.0
35471,0.0
24280,0.0
20436,0.0
5098,0.0
46081,1.0
13713,0.0
11020,0.0
39839,1.0
42457,1.0
10921,0.0
35811,1.0
12429,0.0
11180,0.0
26084,0.0
18329,1.0
34621,1.0
17805,1.0
6824,1.0
33036,0.0
17247,1.0
17919,1.0
42784,1.0
44052,0.0
35043,1.0
42054,1.0
30123,0.0
30317,1.0
6956,1.0
15291,1.0
35448,0.0
33199,0.0
26088,1.0
11000,0.0
46932,0.0
25919,1.0
7162,1.0
20904,1.0
48378,1.0
4461,1.0
16742,0.0
1549,1.0
48114,1.0
38271,1.0
15550,1.0
30296,1.0
4068,0.0
21835,1.0
17963,1.0
31631,0.0
33148,1.0
25834,0.0
30513,1.0
21854,1.0
13182,1.0
33058,0.0
25124,0.0
23587,1.0
23198,1.0
462,1.0
48251,1.0
10969,0.0
15356,1.0
36038,1.0
10381,1.0
5246,1.0
1429,0.0
11768,0.0
28752,1.0
19258,1.0
33,1.0
39746,1.0
31578,1.0
46590,0.0
5233,1.0
25618,0.0
45176,0.0
1550,1.0
44172,1.0
10217,1.0
45447,0.0
15134,1.0
5221,1.0
9414,1.0
47227,0.0
16823,1.0
41810,0.0
16261,0.0
19609,1.0
46307,1.0
28334,0.0
29893,1.0
5471,1.0
2207,1.0
13701,1.0
9023,1.0
39958,1.0
34325,1.0
6165,1.0
14494,0.0
36276,1.0
32236,1.0
6052,0.0
616,1.0
13459,1.0
8362,1.0
3284,1.0
23810,1.0
22643,1.0
3638,1.0
23604,0.0
19530,0.0
43715,0.0
27800,1.0
24164,1.0
7278,0.0
28789,1.0
25088,0.0
38918,1.0
17398,0.0
33133,1.0
19709,1.0
44607,1.0
33421,0.0
14400,1.0
6700,0.0
14065,1.0
27855,0.0
32538,0.0
43239,1.0
7876,0.0
40678,1.0
14326,1.0
11378,1.0
14836,1.0
39083,1.0
41070,0.0
15080,0.0
5278,1.0
42212,1.0
6062,1.0
5694,0.0
31408,1.0
8910,1.0
6760,1.0
42157,1.0
14355,1.0
2117,0.0
38694,0.0
15738,1.0
4968,0.0
831,1.0
37911,0.0
8574,0.0
7986,1.0
24294,1.0
1456,1.0
13723,1.0
40754,1.0
25983,0.0
40086,1.0
574,1.0
32605,1.0
19304,1.0
7001,1.0
13556,0.0
12324,1.0
5219,1.0
39276,1.0
28372,1.0
37645,1.0
14825,0.0
23297,0.0
10671,1.0
29807,1.0
43924,1.0
39327,0.0
3988,0.0
2828,1.0
196,1.0
30745,1.0
34658,0.0
14729,1.0
2725,1.0
35127,0.0
20705,1.0
8748,1.0
33211,1.0
24032,0.0
37347,0.0
1781,1.0
29494,0.0
46981,0.0
46224,1.0
12957,1.0
3530,1.0
41551,1.0
26319,0.0
17639,0.0
36433,1.0
2971,1.0
14880,0.0
33612,0.0
14229,1.0
29937,1.0
827,0.0
25505,1.0
34613,0.0
22524,1.0
12153,0.0
20665,1.0
44718,1.0
20310,0.0
30086,1.0
19433,1.0
47444,0.0
40052,0.0
36946,0.0
42729,0.0
11570,0.0
20326,0.0
40428,0.0
7706,1.0
14441,0.0
4776,0.0
7174,1.0
12604,0.0
844,1.0
33890,0.0
27945,1.0
9880,1.0
35065,1.0
9291,1.0
40147,0.0
35575,1.0
42065,0.0
12163,1.0
30229,1.0
10081,0.0
36628,0.0
20082,0.0
46238,1.0
41995,0.0
29999,1.0
16483,1.0
10669,0.0
17008,1.0
10405,0.0
8114,1.0
43646,0.0
11470,0.0
618,1.0
47891,1.0
4308,1.0
28751,1.0
4293,1.0
23348,0.0
24693,1.0
25265,0.0
12955,1.0
21995,1.0
19442,1.0
42855,1.0
27284,1.0
33698,1.0
44502,0.0
21610,0.0
44305,1.0
35148,1.0
45407,0.0
3337,1.0
32118,1.0
22199,1.0
34149,1.0
4771,1.0
15459,1.0
6399,0.0
39217,0.0
17802,1.0
20403,1.0
39336,1.0
17914,1.0
8892,1.0
31906,1.0
754,0.0
9072,1.0
13797,0.0
47086,1.0
41345,1.0
18924,1.0
35707,1.0
35540,1.0
22893,1.0
46837,1.0
25795,0.0
7369,1.0
17498,1.0
7809,1.0
25681,1.0
47959,1.0
15541,0.0
14741,1.0
41993,0.0
554,1.0
30350,0.0
33602,0.0
36467,1.0
43980,0.0
14617,1.0
32768,0.0
7759,1.0
35601,0.0
6870,0.0
5041,1.0
20999,1.0
39513,1.0
5882,1.0
8735,1.0
12354,1.0
27090,1.0
42809,1.0
42916,1.0
1732,1.0
43559,1.0
22288,0.0
13825,1.0
16729,1.0
12101,1.0
20258,1.0
19647,0.0
16749,1.0
9149,0.0
41849,1.0
21544,0.0
29683,1.0
793,1.0
28116,1.0
40394,0.0
